ISO3,Country,Continent,Hemisphere,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Inequality in income (2010),Inequality in income (2011),Inequality in income (2012),Inequality in income (2013),Inequality in income (2014),Inequality in income (2015),Inequality in income (2016),Inequality in income (2017),Inequality in income (2018),Inequality in income (2019),Inequality in income (2020),Inequality in income (2021),,,,,Min Max 2010,Min Max 2011,Min Max 2012,Min Max 2013,Min Max 2014,Min Max 2015,Min Max 2016,Min Max 2017,Min Max 2018,Min Max 2019,Min Max 2020,Min Max 2021
THA,Thailand,Asia,Northern Hemisphere,Very High,EAP,66,27.6,24.04,24.06,23.8,23.8,23.8,23.8,23.8,23.8,18.8,18.8,18.8,,,,,0.35,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.21,0.21,0.21
ALB,Albania,Europe,Northern Hemisphere,High,ECA,67,18.3,18.3,12.2,12.2,12.2,12.2,12.2,12.2,13.2,13.2,13.2,13.2,,,,,0.20,0.20,0.10,0.10,0.10,0.10,0.10,0.10,0.12,0.12,0.12,0.12
BGR,Bulgaria,Europe,Northern Hemisphere,High,N/A,68,15.4,18.8,17.8,18.2,20,21.4,22.2,23.9,21.6,21.6,23,23,,,,,0.15,0.21,0.19,0.20,0.23,0.25,0.26,0.29,0.25,0.25,0.28,0.28
BRB,Barbados,America,Northern Hemisphere,High,LAC,70,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,,,,,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44
SYC,Seychelles,Africa,Southern Hemisphere,High,SSA,72,24.3,24.04,24.06,29.3,29.3,29.3,29.3,29.3,29.3,29.3,29.3,29.3,,,,,0.30,0.29,0.29,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38
LKA,Sri Lanka,Asia,Northern Hemisphere,High,SA,73,24.3,24.04,24.06,24.3,23.64,23.28,22.4,22.4,22.4,22.4,22.4,22.4,,,,,0.30,0.29,0.29,0.30,0.29,0.28,0.27,0.27,0.27,0.27,0.27,0.27
BIH,Bosnia and Herzegovina,Europe,Northern Hemisphere,High,ECA,74,24.3,16.7,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,,,,,0.30,0.17,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23
IRN,Iran,Asia,Northern Hemisphere,High,SA,76,24.3,24.04,24.06,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,,,,,0.30,0.29,0.29,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
UKR,Ukraine,Europe,Northern Hemisphere,High,ECA,77,9,8.9,9,8.9,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,,,,,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
MKD,North Macedonia,Europe,Northern Hemisphere,High,ECA,78,24.3,30.1,30.1,30.1,30.1,30.1,30.1,23.36,19.2,19.2,19.2,19.2,,,,,0.30,0.39,0.39,0.39,0.39,0.39,0.39,0.28,0.21,0.21,0.21,0.21
